"FECD, FE_CD","Description","Form","NO3-N%","NH4-N%","Urea-N%","UIEFF","UIDUR","NIEFF","NIDUR","NREL50","NRFNC","NSIGK","FertN%","FertP%","FertK%","FertCa%","FertMg%","FertS%","FertB%","FertZn%","FertMn%","FertFe%","Notes","",""
"FE205","DMPP (3,4-Dimethylpyrazole phosphate)","","0","0","100","0","0","80","60","0","","","46","0","0","0","0","0","","","","","","",""
"FE206","sulphur coated urea (thin coat)","","0","0","100","0","0","0","0","10","STP","","45","0","0","0","0","0","","","","","","",""
"FE207","sulphur coated urea (thick coat)","","0","0","100","0","0","0","0","20","STP","","30","0","0","0","0","0","","","","","","",""
"FE208","ESN + NBTPT","","0","0","100","50","25","50","30","50","LIN","","46","0","0","0","0","0","","","","","","",""
"FE209","Ureaform (Urea + formaldehyde)","","0","0","100","??","0","0","0","??","0","0","38","0","0","0","0","0","","","","","","",""
"FE210","Crotonylidene diurea (CDU)","","0","0","100?","??","0","0","0","??","0","0","32","0","0","0","0","0","","","","","","",""
"FE211","Isobutylidene diurea (IBDU)","","0","0","100?","??","0","0","0","??","0","0","31","0","0","0","0","0","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"!","Elemental sulfur (S):","","","","","","","","","","","","","","","","","","","","","","","",""
"FE500","Wettable S","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90-100","","","","","","",""
"FE501","Flowable S","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52-70","","","","","","",""
"FE502","Flowers of S","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90-100","","","","","","",""
"FE503","Gypsum","","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","18","","","","","","",""
"FE504","Magnesium sulfate (epsom salt)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","13","","","","","","",""
"FE505","Sulfuric acid","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20-26","","","","","","",""
"FE506","Magnesium oxide","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","","","","","","",""
"FE508","Magnesium sulfate (Kieserite)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","23","","","","","","",""
"FE509","Calcium chloride","","0","0","0","0","0","0","0","0","0","0","0","0","0","36","0","0","","","","","","",""
"FE510","Calcium oxide (burned lime, quicklime)","","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","","","","","","",""
"FE511","Selma chalk","","0","0","0","0","0","0","0","0","0","0","0","0","0","32","0","0","","","","","","",""
"FE513","Hydrated lime","","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","","","","","","",""
"!","Copper sulfate","","","","","","","","","","","","0","0","0","0","0","13","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"!","Generic fertilizer - user to modify values","","","","","","","","","","","","","","","","","","","","","","","",""
"FE900","Generic fertilizer","","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","-99","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
