"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","SubGroup","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP_rating","DSSAT_rating","APSIM_rating","CYCLES","","","","","","","","","",""
"researcher_last_name","20","LAST_NAME","9","LAST_NAME","2","","Last name of researchers involved with the experiment(s) or data","text","text","31","EXPERIMENT","METADATA","PERSONS","","1031","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_first_name","21","FIRST_NAME","10","FIRST_NAME","3","","First name of researchers involved with the experiment(s) or data","text","text","31","EXPERIMENT","METADATA","PERSONS","","1031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_name_mi","18","MID_INITIAL","13","MID_INITIAL","4","","Middle initial of researchers involved with the experiment(s) or data","text","text","10","EXPERIMENT","METADATA","PERSONS","","1031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_role","15","PP_ROLE","13","PP_ROLE","4","","Role of researcher in experiment or dataset preparation","code","text","5","EXPERIMENT","METADATA","PERSONS","","1031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"researcher_address","18","EX_ADDRESS","13","EX_ADDRESS","4","","Mailing address of researcher","","","","EXPERIMENT","METADATA","PERSONS","","1031","0","2014-03-14, chp","","","","","","","","","","","","","","","","","","","","",""
"institute_ID","12","IN","2","INP","6","","Links to institution associated w person","","single","","EXPERIMENT","METADATA","PERSONS","","1031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"persons_notes","13","PERSON_NOTES","6","PERSON_NOTES","7","","Additional notes on persons involved with the experiment(s)","text","memo","255","EXPERIMENT","METADATA","PERSONS","","1031","0","","","","","","","1","","1","1","","","","","","","","","","","",""
"e_mail_address","14","EX_EMAIL","6","EX_EMAIL","7","","E-mail address of researcher","text","text","255","EXPERIMENT","METADATA","PERSONS","","1031","0","","","","","","","1","","0","","","","","","","","","","","","",""
"institute_ID","12","IN","2","IN","1","1","id","","single","","EXPERIMENT","METADATA","INSTITUTIONS","","1041","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"institute_name","14","INSTITUTION","11","INSTITUTION","2","","Names of participating institutions","text","text","60","EXPERIMENT","METADATA","INSTITUTIONS","","1041","0","","","","","","","1","","1","1","","","","","","","","","","","",""
"institute_type","14","IN_TYPE","7","IN_TYPE","3","","Type of participating institutions","code","single","","EXPERIMENT","METADATA","INSTITUTIONS","","1041","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"institute_role","14","IN_ROLE","7","IN_ROLE","4","","Role of participating institutions","code","single","","EXPERIMENT","METADATA","INSTITUTIONS","","1041","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"document_ID","11","DOC_ID","2","DOC_ID","1","1","id","","single","","EXPERIMENT","METADATA","DOCUMENTS","","1051","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"document_name","13","DOCUMENT","8","DOCUMENT","2","","Document name in abbreviated form","text","memo","255","EXPERIMENT","METADATA","DOCUMENTS","","1051","0","","","","","","","1","","0","","","","","","","","","","","","",""
"document_type","","DOC_TYPE","","DOC_TYPE","","","Description of type of document (e.g., photo, graphic, memo, etc.","text","text","255","EXPERIMENT","METADATA","DOCUMENTS","","1051","0","","","","","","","","","","","","","","","","","","","","","",""
"document_date","","DOC_DATE","","DOC_DATE","","","Description of type of document (e.g., photo, graphic, memo, etc.","text","text","255","EXPERIMENT","METADATA","DOCUMENTS","","1051","0","2017-09-14, JWW","","","","","","","","","","","","","","","","","","","","",""
"document_link","","DOC_LINK","","DOC_LINK","","","URL for location of digital document","text","text","255","EXPERIMENT","METADATA","DOCUMENTS","","1051","0","","","","","","","","","","","","","","","","","","","","","",""
"digital_object_identifier","25","DIGITAL_OBJ_ID","8","DIGITAL_OBJ_ID","3","","Digital_object_identifier according to international standard (DOI)","text","memo","255","EXPERIMENT","METADATA","DOCUMENTS","","1051","0","","","","","","","1","","0","","","","","","","","","","","","",""
"experiment_ID","13","EX_ID","5","EX_ID","0","1","id","number","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"plot_area","9","PLTA","4","PLTA","2","","Plot area (gross) per rep","m2","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"plot_row_number","15","PLTR#","5","PLTRno","3","","Plot row number for single plot or treatment","number","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".","PRNO","","","","1","-1","0","","","","","","","","","","","","",""
"plot_length","11","PLTLN","5","PLTLN","4","","Plot length (gross) for single plot or treatment","m","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"plot_width","10","PLTWI","5","PLTWI","5","","Plot width (gross) for single plot or treatment","m","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"plot_orientation","16","PLTOR","5","PLTOR","6","","Plot orientation (from North)","arc_degrees","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".","PLOR","0","359","","1","-1","0","","","","","","","","","","","","",""
"drainage_orientation","20","PLTOD","5","PLTOD","7","","Drainage orientation (from North)","arc_degrees","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","","","","","","","1","-1","0","","","","","","","","","","","","",""
"plots_relative_to_drains","24","PLDR","4","PLDR","8","","Plots relative to drains","arc_degrees","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","0","179","","1","-1","0","","","","","","","","","","","","",""
"plot_separation","15","PLTSP","5","PLTSP","9","","Spacing between individual plots, if any","cm","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".","PLSP","0","","","1","-1","0","","","","","","","","","","","","",""
"plot_harvest_area","17","PLTHA","5","PLTHA","21","","Plot harvest area","m2","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"plot_harvest_row_number","23","PLTH#","5","PLTHno","22","","Plot harvest row number","number","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"plot_harvest_length","19","PLTHL","5","PLTHL","23","","Plot harvest length","m","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"plot_harvest_width","18","PLTHW","5","PLTHW","24","","Plot harvest width","m","single","","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"harvest_method_plot","19","PLTHM","5","PLTHM","25","","Plot harvest method (eg.Hand, combine)","code","text","31","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"plot_layout","","PLLAY","","PLLAY","26","","Plot layout or experimental desin (e.g., ""RCBD with four blocks"")","text","memo","255","EXPERIMENT","METADATA","PLOT_DETAILS","","1071","0","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"constraints","11","CNSTR","5","CNSTR","1","","Constraints known to affect crop performance","text","text","","EXPERIMENT","METADATA","NOTES","","1081","0","","","","","","","1","-1","0","","","","","","","","","","","","",""
"complications","13","CMPLC","5","CMPLC","2","","Complications arising during experiment","text","text","","EXPERIMENT","METADATA","NOTES","","1081","0","","","","","","","1","-1","0","","","","","","","","","","","","",""
"Exp_id","6","EID","","EID","0","","id","","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"treatment_ID","12","TREAT_ID","8","TREAT_ID","1","1","Treatment identifier, unique internal ID","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","TN","","","","1","-2","0","","","","","","","","","","","","",""
"experiment_ID","13","EXPER_ID","8","EXPER_ID","2","1","Experiment database key, links to ED table","text","text","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"treatment_number","16","TRTNO","5","TRTNO","3","","Treatment number","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","1","",".","TN","","","","1","","0","","","","","","","","","","","","",""
"replicate_number","16","RP","2","RP","4","","Replicate number","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"sequence_number","15","SQ","2","SQ","5","","Sequence number","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","1","",".","R","","","","1","","0","","","","","","","","","","","","",""
"option_for_crop_in_seq","22","OP","2","OP","6","","Option for crop in sequence","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","O","","","","1","-2","0","","","","","","","","","","","","",""
"crop_component_number","21","CO","2","CO","7","","Crop component number","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","C","","","","1","-2","0","","","","","","","","","","","","",""
"treatment_name","14","TRT_NAME","8","TRT_NAME","8","","Treatment name","text","text","31","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","TNAME TNAM","","","","1","","0","","","","","","","","","","","","",""
"genotype_level_number","21","GE","2","GE","9","","Genotype level number","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"genotype_level_id","17","GE_id","5","GE_id","10","","Genotype level database key","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"field_level","11","FL","2","FL","11","","Field level identifier","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"field_level","11","FL_id","5","FL_id","12","","Field level database key","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"soil_analysis_level","19","SA","2","SA","13","","Soil analysis, treatment level identifier","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"soil_analysis_level","19","SA_id","5","SA_id","14","","Soil analysis, database key","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"initial_conditions_level","24","IC","2","IC","15","","Initial conditions level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MI","","","","1","-2","0","","","","","","","","","","","","",""
"initial_conditions_level","24","IC_id","5","IC_id","16","","Initial conditions database key","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MI","","","","1","-2","0","","","","","","","","","","","","",""
"planting_level","14","PL","2","PL","17","","Planting, level in treatment structure","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MP","","","","1","-2","0","","","","","","","","","","","","",""
"planting_level","14","PL_id","5","PL_id","18","","Planting, database key for treatments","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MP","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_level","16","IR","2","IR","19","","Irrigation level in treatment structure","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_level","16","IR_id","5","IR_id","20","","Irrigation level database key for treatments","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"fertilizer_level","16","FE","2","FE","21","","Fertilizer level in treatment structure","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MF","","","","1","-2","0","","","","","","","","","","","","",""
"fertilizer_level","16","FE_id","5","FE_id","22","","Fertilizer level database key for treatments","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MF","","","","1","-2","0","","","","","","","","","","","","",""
"org_materials_applic_lev","24","OM","2","OM","23","","Organic materials application level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MR","","","","1","-2","0","","","","","","","","","","","","",""
"org_materials_applic_lev","24","OM_id","5","OM_id","24","","Organic materials database key","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MR","","","","1","-2","0","","","","","","","","","","","","",""
"chemical_applic_level","21","CH","2","CH","25","","Chemicals application level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MC","","","","1","-2","0","","","","","","","","","","","","",""
"chemical_applic_level","21","CH_id","5","CH_id","26","","Chemicals application database key","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","MC","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_level","13","TI","2","TI","27","","Tillage operation level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"tillage_level","13","TI_id","5","TI_id","28","","Tillage operation level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"environmental_modif_lev","23","EM","2","EM","29","","Environmental modifications level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","ME","","","","1","-2","0","","","","","","","","","","","","",""
"environmental_modif_lev","23","EM_id","5","EM_id","30","","Environmental modifications database key for treatment levels","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","ME","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_operations_level","24","HA","2","HA","31","","Harvest operations level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","","","","","1","-2","0","","","","","","","","","","","","",""
"harvest_operations_level","24","HA_id","5","HA_id","32","","Harvest operations database key for treatment levels","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".","","","","","1","-2","0","","","","","","","","","","","","",""
"simulation_control_level","24","SM","2","SM","35","","Simulation control level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","D","1","-2","0","","","","","","","","","","","","",""
"simulation_control_level","24","SM_id","5","SM_id","36","","Simulation control database key for treatment levels","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","",".",".","","","D","1","-2","0","","","","","","","","","","","","",""
"mulch_level","11","ML","2","ML","33","","Mulch treatment level","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","Vers 1.1","","","","","","1","-2","0","","","","","","","","","","","","",""
"mulch_level","11","ML_id","5","ML_id","34","","Mulch treatment database key for treatment levels","number","single","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","Vers 1.1","","","","","","1","-2","0","","","","","","","","","","","","",""
"treatment_comments","18","TR_NOTES","8","TR_NOTES","37","","Treatment, extended comments on treatments","text","memo","","EXPERIMENT","MANAGEMENT","TREATMENTS","","2011","0","","","","","","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","GENOTYPES","","2021","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"cultivar_level","14","GE","2","GE","1","","Genotype level, as listed in Treatments table under GE","number","single","","EXPERIMENT","MANAGEMENT","GENOTYPES","","2021","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"crop_ident_ICASA","16","CRID","4","CRID","3","","Crop (or weed) species identifier","code","text","3","EXPERIMENT","MANAGEMENT","GENOTYPES","","2021","1","","","","","","","1","","2","2","","","","","","","","","","","",""
"cultivar_identifier","19","CUL_ID","6","CUL_ID","4","","Cultivar, line or genotype identifier","code","text","6","EXPERIMENT","MANAGEMENT","GENOTYPES","","2021","1","","","","","","","1","","1","1","","","","","","","","","","","",""
"relative_maturity","17","RM","2","RM","4","","Relative maturity","days","single","","EXPERIMENT","MANAGEMENT","GENOTYPES","","2021","1","","","","","","","1","","0","","","","","","","","","","","","",""
"cultivar_name","13","CUL_NAME","8","CUL_NAME","5","","Cultivar name","text","text","40","EXPERIMENT","MANAGEMENT","GENOTYPES","","2021","0","",".","CNAME","","","","1","","2","2","","","","","","","","","","","",""
"cultivar_notes","14","CUL_NOTES","9","CUL_NOTES","5","","Cultivar notes","text","text","40","EXPERIMENT","MANAGEMENT","GENOTYPES","","2021","0","",".","CNOTES","","","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","-1","1","id","","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"soil_ID","7","SID","3","SID","0","","Unique soil identifier linking from SOIL_PROFILES","number","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"field_level","11","FL","2","FL","1","","Field level identifier","number","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"field_id","8","ID_FIELD","8","ID_FIELD","2","","Field, identifier usually consisting of institution+site+4 digit number","text","text","8","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","",".","","","","","1","-2","0","","","","","","","","","","","","",""
"field_name","10","FL_NAME","7","FL_NAME","3","","Field name","text","text","31","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","","Field name","FNAM","","","","1","","0","","","","","","","","","","","","",""
"field_country","14","FL_LOC_1","8","FL_LOC_1","5","","Name of country where field is located","text","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"field_sub_country","20","FL_LOC_2","8","FL_LOC_2","6","","First political subdivision for field location (e.g., state, province, department)","text","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"field_sub_sub_country","24","FL_LOC_3","8","FL_LOC_3","7","","Second political subdivision for field location (e.g, county)","text","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","0","",".",".","","","","1","","0","","","","","","","","","","","","",""
"field_latitude","14","FL_LAT","6","FL_LAT","11","","Field latitude","decimal_degrees","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","-80","80","","1","","2","2","","","","","","","","","","","",""
"field_longitude","15","FL_LONG","7","FL_LONG","12","","Field longitude, E positive, W negative","decimal_degrees","single","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","",".",".","-180","180","","1","","2","2","","","","","","","","","","","",""
"field_location_source","21","LOC_SOURCE","10","LOC_SOURCE","12","","Source of field location data, indication of accuracy of FL_LAT and FL_LONG","text","text","","EXPERIMENT","MANAGEMENT","FIELDS","","2031","1","2013-09-13, CHP",".",".","","","","1","","0","","","","","","","","","","","","",""
