@,Code_Display,Code,Description
,PLMA,V,Vertically planted sticks
,PLMA,H,Horizontally planted sticks
,PLMA,I,Inclined (45o) sticks
,PLMA,C,Cutting
,,,
,PLDS,R,Rows
,PLDS,H,Hills
,PLDS,U,Uniform/Broadcast
,PLDS,RB,Rows on beds
,PLDS,N,Unknown/not given
,,,
,OMCD,RE001,Generic crop residue
,OMCD,RE002,Green manure
,OMCD,RE003,Barnyard manure
,OMCD,RE004,Liquid manure
,OMCD,RE005,Compost
,OMCD,RE006,Bark
,OMCD,RE101,Generic legume residue
,OMCD,RE102,Cowpea residue
,OMCD,RE103,Mucuna residue
,OMCD,RE104,Peanut residue
,OMCD,RE105,Pigeon Pea residue
,OMCD,RE106,Soybean residue
,OMCD,RE107,Alfalfa residue
,OMCD,RE108,Chickpea forage
,OMCD,RE109,Faba bean
,OMCD,RE110,Pea residue
,OMCD,RE111,Hairy vetch
,OMCD,RE201,Generic cereal crop residue
,OMCD,RE202,Pearl millet residue
,OMCD,RE203,Maize residue
,OMCD,RE204,Sorghum residue
,OMCD,RE205,Wheat residue
,OMCD,RE206,Barley
,OMCD,RE207,Rice
,OMCD,RE208,Rye
,OMCD,RE301,Generic grass
,OMCD,RE302,Bahiagrass
,OMCD,RE303,Bermudagrass
,OMCD,RE304,Switchgrass
,OMCD,RE305,brachiaria
,OMCD,RE306,forage grasses
,OMCD,RE401,Bush fallow residue
,OMCD,RE402,Sugarcane
,OMCD,RE403,Pineapple
,OMCD,RE999,Decomposed crop residue
,,,
,TIIMP,TI001,V-Ripper
,TIIMP,TI002,Subsoiler
,TIIMP,TI003,Moldboard plow 20 cm depth
,TIIMP,TI004,"Chisel plow, sweeps"
,TIIMP,TI005,"Chisel plow, straight point"
,TIIMP,TI006,"Chisel plow, twisted shovels"
,TIIMP,TI007,Disk plow
,TIIMP,TI008,"Disk, 1-way"
,TIIMP,TI009,"Disk, tandem"
,TIIMP,TI010,"Disk, double disk"
,TIIMP,TI011,"Cultivator, field"
,TIIMP,TI012,"Cultivator, row"
,TIIMP,TI013,"Cultivator, ridge till"
,TIIMP,TI014,"Harrow, spike"
,TIIMP,TI015,"Harrow, tine"
,TIIMP,TI016,Lister
,TIIMP,TI017,Bedder
,TIIMP,TI018,Blade cultivator
,TIIMP,TI019,"Fertilizer applicator, anhydr"
,TIIMP,TI020,Manure injector
,TIIMP,TI022,Mulch treader
,TIIMP,TI023,Plank
,TIIMP,TI024,Roller packer
,TIIMP,TI025,"Drill, double-disk"
,TIIMP,TI026,"Drill, deep furrow"
,TIIMP,TI031,"Drill, no-till"
,TIIMP,TI032,"Drill, no-till"
,TIIMP,TI033,"Planter, row"
,TIIMP,TI034,"Planter, no-till"
,TIIMP,TI035,Planting stick (hand)
,TIIMP,TI036,Matraca hand planter
,TIIMP,TI037,Rod weeder
,TIIMP,TI038,Rotary hoe
,TIIMP,TI039,"Roller harrow, cultipacker"
,TIIMP,TI041,Moldboard plow 25 cm
,TIIMP,TI042,Moldboard plow 30 cm
,,,
,MLCOL,MC001,Transparent
,MLCOL,MC002,White
,MLCOL,MC003,Black
,MLCOL,MC004,Brown
,MLCOL,MC005,Gray
,MLCOL,MC006,Light straw color
,,,
,"MLTP, MLTPR",MT001,Polyethylene sheet - solid
,"MLTP, MLTPR",MT002,Polyethylene sheet - perforated
,"MLTP, MLTPR",MT003,Landscape fabric
,"MLTP, MLTPR",MT004,Paper
,"MLTP, MLTPR",MT005,Grass clippings
,"MLTP, MLTPR",MT006,Pine needles
,"MLTP, MLTPR",MT007,Straw
,"MLTP, MLTPR",MT008,Foil
,"MLTP, MLTPR",MT009,Foil coated plastic
,"MLTP, MLTPR",MT010,Photodegradable plastic
,"MLTP, MLTPR",MT999,Not given/unknown
